,symbol,open,high,low,close,volume
2020-05-13,BINANCE:BTCDOWNUSDT,10.15,10.92,9.41,9.79,7.7679
2020-05-14,BINANCE:BTCDOWNUSDT,9.85,11.11,9.8,10.65,12.9106
2020-05-15,BINANCE:BTCDOWNUSDT,10.65,10.99,10.2,10.62,31.3473
2020-05-16,BINANCE:BTCDOWNUSDT,10.69,10.7,9.57,9.96,68.0807
2020-05-17,BINANCE:BTCDOWNUSDT,9.9,10.35,9.43,9.81,257.2258
2020-05-18,BINANCE:BTCDOWNUSDT,9.82,10.35,9.42,9.71,367.7226
2020-05-19,BINANCE:BTCDOWNUSDT,9.73,10.69,9.58,10.25,218.3287
2020-05-20,BINANCE:BTCDOWNUSDT,10.26,11.93,10.15,11.24,342.8028
2020-05-21,BINANCE:BTCDOWNUSDT,11.3,11.57,10.76,11.01,195.3629
2020-05-22,BINANCE:BTCDOWNUSDT,10.9,11.13,10.64,10.91,110.7679
2020-05-23,BINANCE:BTCDOWNUSDT,10.93,12.15,10.65,12.02,228.9479
2020-05-24,BINANCE:BTCDOWNUSDT,12.1,12.27,11.47,11.71,138.1326
2020-05-25,BINANCE:BTCDOWNUSDT,11.7,12.25,11.44,11.87,210.333
2020-05-26,BINANCE:BTCDOWNUSDT,11.89,11.91,10.86,10.95,246.5114
2020-05-27,BINANCE:BTCDOWNUSDT,10.93,11.14,9.96,10.07,448.7176
2020-05-28,BINANCE:BTCDOWNUSDT,10.05,10.65,10.0,10.43,478.55
2020-05-29,BINANCE:BTCDOWNUSDT,10.42,10.61,9.65,9.83,504.3874
2020-05-30,BINANCE:BTCDOWNUSDT,9.78,10.42,9.78,10.29,437.9727
2020-05-31,BINANCE:BTCDOWNUSDT,10.31,10.36,8.25,8.66,1665.7575
2020-06-01,BINANCE:BTCDOWNUSDT,8.67,10.65,8.62,10.16,1883.2365
2020-06-02,BINANCE:BTCDOWNUSDT,10.14,10.39,9.77,9.85,503.1729
2020-06-03,BINANCE:BTCDOWNUSDT,9.82,10.27,9.37,9.57,1120.3661
2020-06-04,BINANCE:BTCDOWNUSDT,9.52,9.99,9.43,9.92,983.2741
2020-06-05,BINANCE:BTCDOWNUSDT,9.92,10.09,9.68,9.82,389.3709
2020-06-06,BINANCE:BTCDOWNUSDT,9.85,10.42,9.51,9.72,972.8638
2020-06-07,BINANCE:BTCDOWNUSDT,9.69,9.92,9.59,9.65,362.7571
2020-06-08,BINANCE:BTCDOWNUSDT,9.63,10.07,9.42,9.66,538.4786
2020-06-09,BINANCE:BTCDOWNUSDT,9.66,9.78,9.17,9.43,435.7221
2020-06-10,BINANCE:BTCDOWNUSDT,9.41,11.42,9.26,10.77,1610.3818
2020-06-11,BINANCE:BTCDOWNUSDT,10.8,10.84,10.17,10.34,625.3389
2020-06-12,BINANCE:BTCDOWNUSDT,10.35,10.6,10.26,10.32,175.4337
2020-06-13,BINANCE:BTCDOWNUSDT,10.32,10.84,10.32,10.62,99.5488
2020-06-14,BINANCE:BTCDOWNUSDT,10.64,11.57,10.22,10.37,427.2195
2020-06-15,BINANCE:BTCDOWNUSDT,10.37,10.48,9.99,10.16,247.1025
2020-06-16,BINANCE:BTCDOWNUSDT,10.14,10.75,10.05,10.24,258.3976
2020-06-17,BINANCE:BTCDOWNUSDT,10.24,10.67,10.19,10.4,160.8107
2020-06-18,BINANCE:BTCDOWNUSDT,10.41,10.72,10.25,10.57,129.2191
2020-06-19,BINANCE:BTCDOWNUSDT,10.58,10.86,10.37,10.47,70.0579
2020-06-20,BINANCE:BTCDOWNUSDT,10.47,10.62,10.32,10.62,53.2213
2020-06-21,BINANCE:BTCDOWNUSDT,10.6,10.6,9.53,9.7,149.583
2020-06-22,BINANCE:BTCDOWNUSDT,9.71,9.93,9.65,9.83,123.0116
2020-06-23,BINANCE:BTCDOWNUSDT,9.83,10.7,9.76,10.51,256.4285
2020-06-24,BINANCE:BTCDOWNUSDT,10.54,11.17,10.42,10.67,165.177
2020-06-25,BINANCE:BTCDOWNUSDT,10.63,11.22,10.55,10.85,174.2916
2020-06-26,BINANCE:BTCDOWNUSDT,10.86,11.81,10.76,11.27,160.046
2020-06-27,BINANCE:BTCDOWNUSDT,11.28,11.48,10.84,11.0,111.2308
2020-06-28,BINANCE:BTCDOWNUSDT,11.04,11.29,10.67,10.83,145.0596
2020-06-29,BINANCE:BTCDOWNUSDT,10.81,11.18,10.76,10.93,110.6754
2020-06-30,BINANCE:BTCDOWNUSDT,10.96,11.09,10.5,10.72,155.2473
2020-07-01,BINANCE:BTCDOWNUSDT,10.71,11.59,10.6,11.12,163.1523
2020-07-02,BINANCE:BTCDOWNUSDT,11.1,11.29,11.0,11.18,67.8894
2020-07-03,BINANCE:BTCDOWNUSDT,11.25,11.26,10.81,10.98,105.3072
2020-07-04,BINANCE:BTCDOWNUSDT,10.98,11.7,10.97,11.12,80.6715
2020-07-05,BINANCE:BTCDOWNUSDT,11.2,11.23,10.29,10.39,253.7287
2020-07-06,BINANCE:BTCDOWNUSDT,10.41,10.82,10.3,10.67,145.9618
2020-07-07,BINANCE:BTCDOWNUSDT,10.66,10.72,10.05,10.16,146.8182
